index,rel_spread_bps,imbalance_1,depth_1,quantity,future_mid_return_bps_1,future_mid_return_bps_5,future_mid_return_bps_10,buyer_is_symbol_dominant,seller_is_symbol_dominant,buyer_dominant_product_share,seller_dominant_product_share,symbol_buyer_top1_share,symbol_seller_top1_share,pair_trade_count_total,pair_is_recurrent
rel_spread_bps,1.0,-0.15586588445562313,-0.15219331570632533,-0.17515015007101165,0.000986134474312339,0.004301632448692728,0.021364036517068218,0.3526692040364012,0.3449937905481853,-0.44098531157398935,-0.46275762373783946,0.727162853107462,0.6582025419851437,0.6107546219470783,0.073131513608203
imbalance_1,-0.15586588445562313,1.0,0.1167173452929123,0.1680107218434972,0.09563952961565499,0.05044125930157171,0.02783806588295742,-0.13527923765462443,-0.2188896942004217,0.2132381295748891,0.18565165220231156,-0.25482559773805985,-0.27352956149030305,-0.18903985478610213,0.02005682750350686
depth_1,-0.15219331570632533,0.1167173452929123,1.0,0.3506520764930131,0.018750220148318845,0.014936097155074206,0.0016592467750562627,-0.09459630230281937,-0.09703271468655791,0.21184917520342864,0.18738042852449133,-0.2681162159996732,-0.2560940562530473,-0.40478716466143777,0.04562552807456829
quantity,-0.17515015007101165,0.1680107218434972,0.3506520764930131,1.0,0.011784851044268456,0.021543532117504854,-0.004043775514140033,-0.23017927129275575,-0.236379157025982,0.3524038463140567,0.29481451377686235,-0.33013056257851287,-0.32979184577394155,-0.446415419359434,-0.03980951782504513
future_mid_return_bps_1,0.000986134474312339,0.09563952961565499,0.018750220148318845,0.011784851044268456,1.0,0.3792528983494731,0.29875894718254775,-0.0015942773620309049,-0.04365128239255912,0.0469090688852122,0.056784249751523595,-0.07781402459511036,-0.08455521551492975,-0.024426319919732715,-0.014019202261901493
future_mid_return_bps_5,0.004301632448692728,0.05044125930157171,0.014936097155074206,0.021543532117504854,0.3792528983494731,1.0,0.4408286697135813,0.0028575853976126127,-0.026593610024873836,0.020898039559364392,0.032522371651822306,-0.040009594329141085,-0.04533120242490249,-0.0035511401769811723,-0.012418390315132498
future_mid_return_bps_10,0.021364036517068218,0.02783806588295742,0.0016592467750562627,-0.004043775514140033,0.29875894718254775,0.4408286697135813,1.0,0.014352603719042753,-0.0019099002546344487,-0.007049364618141802,0.0005233093943045785,0.0026486551442083442,0.0007651537475750959,0.0246158990975039,-0.003373356734624352
buyer_is_symbol_dominant,0.3526692040364012,-0.13527923765462443,-0.09459630230281937,-0.23017927129275575,-0.0015942773620309049,0.0028575853976126127,0.014352603719042753,1.0,0.35568832375466236,0.029991190717308755,-0.6988314361407968,0.48351951789624537,0.47559902601271026,0.49356549757352897,0.08778576208797605
seller_is_symbol_dominant,0.3449937905481853,-0.2188896942004217,-0.09703271468655791,-0.236379157025982,-0.04365128239255912,-0.026593610024873836,-0.0019099002546344487,0.35568832375466236,1.0,-0.6633859966945131,-0.10765928001729388,0.5154857560895352,0.5240705103128889,0.46878194713995586,0.10264940408588778
buyer_dominant_product_share,-0.44098531157398935,0.2132381295748891,0.21184917520342864,0.3524038463140567,0.0469090688852122,0.020898039559364392,-0.007049364618141802,0.029991190717308755,-0.6633859966945131,1.0,0.05634840159889135,-0.6613714855750573,-0.6603834936472276,-0.658409691531335,-0.05074703144631942
seller_dominant_product_share,-0.46275762373783946,0.18565165220231156,0.18738042852449133,0.29481451377686235,0.056784249751523595,0.032522371651822306,0.0005233093943045785,-0.6988314361407968,-0.10765928001729388,0.05634840159889135,1.0,-0.7016297810691491,-0.7118645274678341,-0.6152059825504054,-0.059801954824810204
symbol_buyer_top1_share,0.727162853107462,-0.25482559773805985,-0.2681162159996732,-0.33013056257851287,-0.07781402459511036,-0.040009594329141085,0.0026486551442083442,0.48351951789624537,0.5154857560895352,-0.6613714855750573,-0.7016297810691491,1.0,0.9836190854962857,0.8771466249036576,0.09974425391131743
symbol_seller_top1_share,0.6582025419851437,-0.27352956149030305,-0.2560940562530473,-0.32979184577394155,-0.08455521551492975,-0.04533120242490249,0.0007651537475750959,0.47559902601271026,0.5240705103128889,-0.6603834936472276,-0.7118645274678341,0.9836190854962857,1.0,0.8494081273348169,0.09429704174941954
pair_trade_count_total,0.6107546219470783,-0.18903985478610213,-0.40478716466143777,-0.446415419359434,-0.024426319919732715,-0.0035511401769811723,0.0246158990975039,0.49356549757352897,0.46878194713995586,-0.658409691531335,-0.6152059825504054,0.8771466249036576,0.8494081273348169,1.0,0.2528418177325654
pair_is_recurrent,0.073131513608203,0.02005682750350686,0.04562552807456829,-0.03980951782504513,-0.014019202261901493,-0.012418390315132498,-0.003373356734624352,0.08778576208797605,0.10264940408588778,-0.05074703144631942,-0.059801954824810204,0.09974425391131743,0.09429704174941954,0.2528418177325654,1.0
