symbol,trade_count,avg_trade_minus_mid,abs_trade_minus_mid,share_at_or_below_bid,share_at_or_above_ask,avg_future_mid_return_bps_5
HYDROGEL_PACK,1022,0.049902152641878667,7.8845401174168295,0.49608610567514677,0.5039138943248532,-0.05303637454278146
VELVETFRUIT_EXTRACT,1381,0.09522085445329471,2.271180304127444,0.44315713251267197,0.556842867487328,0.6405292706889709
VEV_4000,442,-0.6244343891402715,10.386877828054299,0.5271493212669683,0.47285067873303166,-0.037883577141071205
VEV_4500,3,1.0,3.6666666666666665,0.3333333333333333,0.6666666666666666,27.28557456962085
VEV_5000,3,0.16666666666666666,1.1666666666666667,0.3333333333333333,0.6666666666666666,57.01689739842275
VEV_5100,3,0.0,1.0,0.3333333333333333,0.6666666666666666,70.38617814087483
VEV_5200,47,-0.9361702127659575,0.9787234042553191,0.9574468085106383,0.0425531914893617,-20.945639333129712
VEV_5300,164,-0.8689024390243902,0.875,0.9817073170731707,0.006097560975609756,-47.17207460307463
VEV_5400,276,-0.5887681159420289,0.5887681159420289,0.9963768115942029,0.0,-26.568754827998863
VEV_5500,306,-0.5261437908496732,0.5261437908496732,1.0,0.0,-51.10599367110021
VEV_6000,317,-0.5,0.5,1.0,0.0,0.0
VEV_6500,317,-0.5,0.5,1.0,0.0,0.0
