counterparty,trade_count,quantity,notional,distinct_symbols,avg_rel_spread_bps,avg_depth_1,avg_imbalance_1,avg_trade_minus_mid,share_at_or_below_bid,share_at_or_above_ask,inside_spread_share,avg_future_mid_return_bps_1,avg_future_mid_return_bps_5,avg_future_mid_return_bps_10,avg_side_alpha_bps_1,avg_side_alpha_bps_5,avg_side_alpha_bps_10,side
Mark 01,1599,6053.0,7465351.0,7,8818.828950987754,46.78924327704816,-0.019264213059862274,-0.899624765478424,1.0,0.0,0.0,-11.012245113011627,-10.684588785482328,8.419802150594105,-11.012245113011627,-10.684588785482328,8.419802150594105,buyer
Mark 22,1542,5683.0,4031965.0,12,9174.889216493431,38.57846952010376,-0.06732583891636411,-0.4571984435797665,0.9273670557717251,0.07068741893644617,0.0019455252918287938,-16.699033656799653,-20.4770863534105,0.5928246039130859,16.699033656799653,20.4770863534105,-0.5928246039130859,seller
Mark 14,1127,4510.0,29684752.0,7,86.09487207154154,34.53238686779059,-0.11253383225111217,-6.405944986690328,0.997338065661047,0.0,0.0026619343389529724,-8.316988691874807,-13.658395911657168,-11.021656619920785,-8.316988691874807,-13.658395911657168,-11.021656619920785,buyer
Mark 14,1045,4208.0,30105030.0,3,43.65434058219104,34.8622009569378,0.06585626371715757,6.68755980861244,0.0,1.0,0.0,-0.06151752057529968,0.2817046366167495,0.4395592652534736,0.06151752057529968,-0.2817046366167495,-0.4395592652534736,seller
Mark 38,745,2507.0,20861422.0,7,64.55503097193741,23.915436241610738,-0.007868452090307128,-8.651677852348993,1.0,0.0,0.0,-0.8139222932627392,0.5967166968131397,1.6293808201546358,0.8139222932627392,-0.5967166968131397,-1.6293808201546358,seller
Mark 38,733,2493.0,21177491.0,7,59.7262826730155,23.890859481582538,0.0070348911930435765,8.491132332878582,0.0,1.0,0.0,1.1776835917787072,0.8142813576627344,0.21471987302692258,1.1776835917787072,0.8142813576627344,0.21471987302692258,buyer
Mark 55,600,3297.0,17292836.0,1,9.407821699952589,74.1,-0.0016535627839334183,-2.4683333333333333,1.0,0.0,0.0,-0.06792945566648904,0.09906480574876182,-0.07589950344885969,0.06792945566648904,-0.09906480574876182,0.07589950344885969,seller
Mark 55,598,3254.0,17083928.0,1,9.508782850349167,73.22742474916387,0.020569271660131064,2.4949832775919734,0.0,1.0,0.0,0.019288892289558466,0.37919382907307625,0.02472735893015475,0.019288892289558466,0.37919382907307625,0.02472735893015475,buyer
Mark 01,244,1375.0,7220079.0,1,10.238210438170832,96.85245901639344,-0.29349212607139985,2.6864754098360657,0.0,1.0,0.0,-0.402162238908601,-0.004117136828921022,-0.5952223832008371,0.402162238908601,0.004117136828921022,0.5952223832008371,seller
Mark 67,165,1510.0,7926450.0,1,3.1062413731753713,54.2969696969697,0.5730025891909069,0.796969696969697,0.006060606060606061,0.9939393939393939,0.0,3.752655824831247,3.7074207641028343,4.274031804791269,3.752655824831247,3.7074207641028343,4.274031804791269,buyer
Mark 49,105,1071.0,5622963.0,1,2.5214528959711684,43.49523809523809,0.4075924604523905,0.6714285714285714,0.009523809523809525,0.9904761904761905,0.0,3.619594990853704,3.465819507896738,4.082438353724311,-3.619594990853704,-3.465819507896738,-4.082438353724311,seller
Mark 22,42,206.0,1192850.0,8,33.30320072393229,36.714285714285715,-0.3609105469082911,-1.9285714285714286,0.8571428571428571,0.14285714285714285,0.0,-15.489908572277546,16.359065711220225,23.093835732642507,-15.489908572277546,16.359065711220225,23.093835732642507,buyer
Mark 49,17,115.0,603473.0,1,5.042922439123858,50.470588235294116,-0.5812194841206311,-1.5,0.9411764705882353,0.058823529411764705,0.0,-2.409311288052705,-3.4793054501980354,-3.7614034276451154,-2.409311288052705,-3.4793054501980354,-3.7614034276451154,buyer
