product,strike,quote_rows,mean_mid,std_mid,mean_spread,median_spread,mean_rel_spread_bps,mean_depth_1,mean_abs_imbalance_1,zero_mid_share,trade_count,trade_qty,trade_notional,product_role
VEV_4000,4000,30000,1247.65655,18.101252413633826,20.7535,21.0,166.33885363155093,21.829633333333334,0.01003547715041523,0.0,442,876.0,1092457.0,ITM structural
VEV_4500,4500,30000,747.65675,18.09235701109451,15.793833333333334,16.0,211.2478953827766,17.897666666666666,0.008474689847189847,0.0,3,6.0,4389.0,ITM structural
VEV_5000,5000,30000,251.14458333333334,17.45552569166258,5.9642333333333335,6.0,237.64118114497478,31.2077,0.24503525682825714,0.0,3,6.0,1409.0,active zone
VEV_5100,5100,30000,160.8633,16.127374745564445,4.1744,4.0,260.13625215923446,39.121233333333336,0.24333001083848832,0.0,3,6.0,871.0,active zone
VEV_5200,5200,30000,88.99348333333333,13.34696359654988,2.757833333333333,3.0,312.69653082017953,45.61793333333333,0.17572703141772747,0.0,47,162.0,12200.0,active zone
VEV_5300,5300,30000,41.1763,9.143022192095954,1.9730666666666667,2.0,493.5510582068,41.0477,0.11551404374775656,0.0,164,548.0,20310.0,active zone
VEV_5400,5400,30000,12.629783333333334,4.149325870937131,1.3040333333333334,1.0,1147.0759125829895,43.78243333333333,0.041391370183904395,0.0,276,959.0,10869.0,upper/passive
VEV_5500,5500,30000,4.707783333333333,2.2052542993057225,1.1087666666666667,1.0,3227.435214825308,44.56053333333333,0.015564045806455687,0.0,306,1069.0,4202.0,upper/passive
VEV_6000,6000,30000,0.5,0.0,1.0,1.0,20000.0,44.9743,0.0016407108394217123,0.0,317,1105.0,0.0,floor/monitor
VEV_6500,6500,30000,0.5,0.0,1.0,1.0,20000.0,30.9945,0.002365798441029244,0.0,317,1105.0,0.0,floor/monitor
