symbol,side,trade_count,unique_counterparties,hhi,top1_share,top3_share,dominant_counterparty
HYDROGEL_PACK,buyer,1022,3,0.48958337322543954,0.5039138943248532,1.0,Mark 38
HYDROGEL_PACK,seller,1022,3,0.49226412276301024,0.49608610567514677,1.0,Mark 14
VELVETFRUIT_EXTRACT,buyer,1381,6,0.29006413197417524,0.4330195510499638,0.8501086169442433,Mark 55
VELVETFRUIT_EXTRACT,seller,1381,5,0.28855613133867564,0.4344677769732078,0.8508327299058653,Mark 55
VEV_4000,buyer,442,3,0.49909911754468583,0.5248868778280543,1.0,Mark 14
VEV_4000,seller,442,3,0.49723592883028606,0.5271493212669683,1.0,Mark 38
VEV_4500,buyer,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 38
VEV_4500,seller,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 22
VEV_5000,buyer,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 38
VEV_5000,seller,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 22
VEV_5100,buyer,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 38
VEV_5100,seller,3,2,0.5555555555555556,0.6666666666666666,1.0,Mark 22
VEV_5200,buyer,47,4,0.5500226346763242,0.7021276595744681,0.9787234042553191,Mark 14
VEV_5200,seller,47,2,0.9583521955636034,0.9787234042553191,1.0,Mark 22
VEV_5300,buyer,164,4,0.6813652587745391,0.8048780487804879,0.9939024390243902,Mark 01
VEV_5300,seller,164,2,0.9878792385484831,0.9939024390243902,1.0,Mark 22
VEV_5400,buyer,276,2,0.9102341944969545,0.9528985507246377,1.0,Mark 01
VEV_5400,seller,276,1,1.0,1.0,1.0,Mark 22
VEV_5500,buyer,306,2,0.9552949720193087,0.9771241830065359,1.0,Mark 01
VEV_5500,seller,306,1,1.0,1.0,1.0,Mark 22
VEV_6000,buyer,317,1,1.0,1.0,1.0,Mark 01
VEV_6000,seller,317,1,1.0,1.0,1.0,Mark 22
VEV_6500,buyer,317,1,1.0,1.0,1.0,Mark 01
VEV_6500,seller,317,1,1.0,1.0,1.0,Mark 22
