counterparty,symbol,trade_count,quantity,avg_rel_spread_bps,avg_depth_1,avg_imbalance_1,avg_trade_minus_mid,share_at_or_below_bid,share_at_or_above_ask,avg_side_alpha_bps_1,avg_side_alpha_bps_5,avg_side_alpha_bps_10,side
Mark 55,VELVETFRUIT_EXTRACT,600,3297.0,9.407821699952589,74.1,-0.0016535627839334183,-2.4683333333333333,1.0,0.0,0.06792945566648904,-0.09906480574876182,0.07589950344885969,seller
Mark 55,VELVETFRUIT_EXTRACT,598,3254.0,9.508782850349167,73.22742474916387,0.020569271660131064,2.4949832775919734,0.0,1.0,0.019288892289558466,0.37919382907307625,0.02472735893015475,buyer
Mark 38,HYDROGEL_PACK,515,2065.0,15.75741159611459,24.889320388349514,0.0018678595143171775,7.8728155339805825,0.0,1.0,-0.06444062621451052,-0.11894435426336758,-0.05582360971670862,buyer
Mark 14,HYDROGEL_PACK,507,2033.0,15.893539387597489,24.990138067061142,-0.003927147194177647,7.940828402366864,0.0,1.0,0.11575493571999788,0.1710415909578696,0.11075147209025824,seller
Mark 38,HYDROGEL_PACK,507,2031.0,15.799488122396744,24.743589743589745,-0.006312541115858676,-7.896449704142012,1.0,0.0,-0.12084580756804254,-0.013911573299628503,-0.12186664127881461,seller
Mark 14,HYDROGEL_PACK,496,1989.0,15.968530474500291,24.842741935483872,0.0005040322580645161,-7.980846774193548,1.0,0.0,0.192005859037607,0.07365918235249098,0.23519221186789946,buyer
Mark 14,VELVETFRUIT_EXTRACT,331,1763.0,9.384421457178185,58.105740181268885,0.21925970325069571,2.4622356495468276,0.0,1.0,-0.1385620365809896,-0.4983076787269009,-0.3195797484316921,seller
Mark 01,VEV_6000,317,1105.0,20000.0,41.18927444794953,-0.0880771366975418,-0.5,1.0,0.0,0.0,0.0,0.0,buyer
Mark 01,VEV_6500,317,1105.0,20000.0,27.750788643533124,-0.1319658924879212,-0.5,1.0,0.0,0.0,0.0,0.0,buyer
Mark 22,VEV_6000,317,1105.0,20000.0,41.18927444794953,-0.0880771366975418,-0.5,1.0,0.0,0.0,0.0,0.0,seller
Mark 22,VEV_6500,317,1105.0,20000.0,27.750788643533124,-0.1319658924879212,-0.5,1.0,0.0,0.0,0.0,0.0,seller
Mark 14,VELVETFRUIT_EXTRACT,316,1761.0,9.264148740438152,60.84177215189873,-0.24085336824853024,-2.430379746835443,1.0,0.0,-0.3558548065001637,-0.06432084055233327,-0.4853095807883054,buyer
Mark 22,VEV_5500,306,1069.0,3468.110879769351,40.74183006535948,-0.10159561890171107,-0.5261437908496732,1.0,0.0,39.84397137966615,51.10599367110021,-21.624674628832942,seller
Mark 01,VEV_5500,299,1042.0,3497.2788416517255,41.11036789297659,-0.08693457463746494,-0.5267558528428093,1.0,0.0,-25.169192560238045,-25.54660221858416,44.42748195013226,buyer
Mark 22,VEV_5400,276,959.0,1136.089638190523,39.90942028985507,-0.09871192776402576,-0.5887681159420289,0.9963768115942029,0.0,33.23363902180895,26.568754827998863,5.643179907187721,seller
