symbol,buyer_bucket,seller_bucket,trade_count,avg_rel_spread_bps,avg_imbalance_1,avg_future_mid_return_bps_1,avg_future_mid_return_bps_5,avg_future_mid_return_bps_10
HYDROGEL_PACK,Mark 14,Mark 38,496,15.968530474500291,0.0005040322580645161,0.192005859037607,0.07365918235249098,0.23519221186789946
HYDROGEL_PACK,Mark 38,Mark 14,507,15.893539387597489,-0.003927147194177647,-0.11575493571999788,-0.1710415909578696,-0.11075147209025824
HYDROGEL_PACK,Mark 38,Mark 22,8,7.130312810885809,0.3691264096651766,3.187603738695752,3.182718021250698,3.4252296682069963
HYDROGEL_PACK,OTHER_BUYER,Mark 38,11,8.177214791182282,-0.3136780314309408,-3.0878256041505,-2.680162434902171,-4.988086359829011
VELVETFRUIT_EXTRACT,Mark 01,Mark 55,260,9.91569320536562,0.34415998908168594,0.44416811188789773,0.5552617143069424,0.45050967335488007
VELVETFRUIT_EXTRACT,Mark 14,Mark 55,316,9.264148740438152,-0.24085336824853024,-0.3558548065001637,-0.06432084055233327,-0.4853095807883054
VELVETFRUIT_EXTRACT,Mark 55,Mark 01,244,10.238210438170832,-0.29349212607139985,-0.402162238908601,-0.004117136828921022,-0.5952223832008371
VELVETFRUIT_EXTRACT,Mark 55,Mark 14,331,9.384421457178185,0.21925970325069571,0.1385620365809896,0.4983076787269009,0.3195797484316921
VELVETFRUIT_EXTRACT,Mark 55,Mark 22,14,4.214385569753212,0.5945094653282762,2.7173390697355644,3.2596047966715886,3.2615815434759976
VELVETFRUIT_EXTRACT,Mark 55,OTHER_SELLER,9,2.542655254732835,0.3349343248448645,2.8617291998054615,1.9097980399944352,0.9531315335203039
VELVETFRUIT_EXTRACT,Mark 67,Mark 22,75,3.8121276557935166,0.7794536662955185,3.786356599418431,3.927750186235467,4.10765105991136
VELVETFRUIT_EXTRACT,Mark 67,Mark 55,1,5.722460658082976,-0.5238095238095238,0.0,-0.9537434430138292,7.6299475441106335
VELVETFRUIT_EXTRACT,Mark 67,OTHER_SELLER,89,2.481997659902692,0.4113506940241042,3.766420967873859,3.574122534295746,4.376533379248278
VELVETFRUIT_EXTRACT,OTHER_BUYER,Mark 22,12,5.0789249840013815,-0.6271642311737876,-2.6974514314363103,-3.577500029196298,-4.453617295988853
VELVETFRUIT_EXTRACT,OTHER_BUYER,Mark 55,23,5.800840171302313,-0.6017504757066658,-1.9039679842041353,-2.7673927483911642,-0.7367103111561214
VELVETFRUIT_EXTRACT,OTHER_BUYER,OTHER_SELLER,7,2.995837864719655,0.4532268079645651,2.7272064429451888,4.089422916698026,4.36662465518187
