day,symbol,trade_count,trade_qty,trade_notional,avg_trade_price
1,HYDROGEL_PACK,375,1485.0,14841524.0,9993.608
1,VELVETFRUIT_EXTRACT,450,2685.0,14088077.0,5247.211111111111
1,VEV_4000,164,333.0,415613.0,1247.9024390243903
1,VEV_4500,1,1.0,733.0,733.0
1,VEV_5000,1,1.0,238.0,238.0
1,VEV_5100,1,1.0,152.0,152.0
1,VEV_5200,7,22.0,1905.0,86.28571428571429
1,VEV_5300,39,130.0,5747.0,44.17948717948718
1,VEV_5400,81,286.0,4250.0,14.851851851851851
1,VEV_5500,92,321.0,1923.0,5.989130434782608
1,VEV_6000,98,345.0,0.0,0.0
1,VEV_6500,98,345.0,0.0,0.0
2,HYDROGEL_PACK,311,1244.0,12423776.0,9986.655948553054
2,VELVETFRUIT_EXTRACT,477,2895.0,15220660.0,5257.658280922432
2,VEV_4000,128,256.0,321203.0,1254.8046875
2,VEV_5200,8,26.0,2150.0,83.0
2,VEV_5300,45,162.0,7002.0,42.68888888888889
2,VEV_5400,80,283.0,3640.0,12.8625
2,VEV_5500,94,335.0,1607.0,4.776595744680851
2,VEV_6000,95,337.0,0.0,0.0
2,VEV_6500,95,337.0,0.0,0.0
3,HYDROGEL_PACK,336,1367.0,13673910.0,10002.214285714286
3,VELVETFRUIT_EXTRACT,454,2623.0,13739641.0,5237.916299559472
3,VEV_4000,150,287.0,355641.0,1238.5466666666666
3,VEV_4500,2,5.0,3656.0,732.5
3,VEV_5000,2,5.0,1171.0,235.5
3,VEV_5100,2,5.0,719.0,145.0
3,VEV_5200,32,114.0,8145.0,71.28125
3,VEV_5300,80,256.0,7561.0,29.4125
3,VEV_5400,115,390.0,2979.0,7.547826086956522
3,VEV_5500,120,413.0,672.0,1.5916666666666666
3,VEV_6000,124,423.0,0.0,0.0
3,VEV_6500,124,423.0,0.0,0.0
