left_product,right_product,lag_steps,corr,sample_size
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,0,0.0012850494979053603,29997
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,1,-0.002300827541952406,29994
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,2,-0.004386435582603178,29991
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,-0.0019065112037983793,29982
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,10,-0.004016455863352253,29967
VELVETFRUIT_EXTRACT,VEV_4000,0,0.5806250037417111,29997
VELVETFRUIT_EXTRACT,VEV_4000,1,-0.02356723005905788,29994
VELVETFRUIT_EXTRACT,VEV_4000,2,-0.008139761663607043,29991
VELVETFRUIT_EXTRACT,VEV_4000,5,-0.009413269861104157,29982
VELVETFRUIT_EXTRACT,VEV_4000,10,0.0031013883784038925,29967
VELVETFRUIT_EXTRACT,VEV_5000,0,0.7542387141153813,29997
VELVETFRUIT_EXTRACT,VEV_5000,1,-0.011397237528644815,29994
VELVETFRUIT_EXTRACT,VEV_5000,2,-0.009682411941417064,29991
VELVETFRUIT_EXTRACT,VEV_5000,5,-0.006511880337702327,29982
VELVETFRUIT_EXTRACT,VEV_5000,10,0.005957269889585505,29967
VELVETFRUIT_EXTRACT,VEV_5100,0,0.7600251853954432,29997
VELVETFRUIT_EXTRACT,VEV_5100,1,-0.01263502745942409,29994
VELVETFRUIT_EXTRACT,VEV_5100,2,-0.006299356725215294,29991
VELVETFRUIT_EXTRACT,VEV_5100,5,-0.0071021429792148694,29982
VELVETFRUIT_EXTRACT,VEV_5100,10,0.001104262501787963,29967
VELVETFRUIT_EXTRACT,VEV_5200,0,0.731486826169661,29997
VELVETFRUIT_EXTRACT,VEV_5200,1,-0.013267589778336825,29994
VELVETFRUIT_EXTRACT,VEV_5200,2,-0.008198416421069147,29991
VELVETFRUIT_EXTRACT,VEV_5200,5,-0.005671457443778423,29982
VELVETFRUIT_EXTRACT,VEV_5200,10,0.0020393274857598872,29967
VELVETFRUIT_EXTRACT,VEV_5300,0,0.6168695206364312,29997
VELVETFRUIT_EXTRACT,VEV_5300,1,-0.008174853981042673,29994
VELVETFRUIT_EXTRACT,VEV_5300,2,-0.011451813947510122,29991
VELVETFRUIT_EXTRACT,VEV_5300,5,0.002808097422076527,29982
VELVETFRUIT_EXTRACT,VEV_5300,10,0.0006680259787311685,29967
VELVETFRUIT_EXTRACT,VEV_5400,0,0.4670588485848496,29997
VELVETFRUIT_EXTRACT,VEV_5400,1,-0.001974576516041272,29994
VELVETFRUIT_EXTRACT,VEV_5400,2,-0.01721295242990065,29991
VELVETFRUIT_EXTRACT,VEV_5400,5,0.008549031316502925,29982
VELVETFRUIT_EXTRACT,VEV_5400,10,0.002722147919411416,29967
VELVETFRUIT_EXTRACT,VEV_5500,0,0.24921505000402103,29997
VELVETFRUIT_EXTRACT,VEV_5500,1,-0.0032817854848445046,29994
VELVETFRUIT_EXTRACT,VEV_5500,2,-0.008340957770924634,29991
VELVETFRUIT_EXTRACT,VEV_5500,5,-0.002387885304809254,29982
VELVETFRUIT_EXTRACT,VEV_5500,10,-0.004209333390178331,29967
VEV_5000,VEV_5300,0,0.7082095789529643,29997
VEV_5000,VEV_5300,1,-0.030207021428287857,29994
VEV_5000,VEV_5300,2,-0.008012716171196763,29991
VEV_5000,VEV_5300,5,0.003581228195723619,29982
VEV_5000,VEV_5300,10,6.345536186736427e-05,29967
VEV_5100,VEV_5300,0,0.7071721515448998,29997
VEV_5100,VEV_5300,1,-0.03252199576844572,29994
VEV_5100,VEV_5300,2,-0.00764853521721172,29991
VEV_5100,VEV_5300,5,0.0025307446943168507,29982
VEV_5100,VEV_5300,10,0.002136261226693285,29967
VEV_5200,VEV_5300,0,0.668608926805726,29997
VEV_5200,VEV_5300,1,-0.01631627745682025,29994
VEV_5200,VEV_5300,2,-0.0148991386881807,29991
VEV_5200,VEV_5300,5,-0.00033604911249784334,29982
VEV_5200,VEV_5300,10,0.0029567909251902186,29967
VEV_5300,VEV_5400,0,0.4235863010492678,29997
VEV_5300,VEV_5400,1,-0.004292861523891388,29994
VEV_5300,VEV_5400,2,-0.022125278844925305,29991
VEV_5300,VEV_5400,5,0.0019341199436015014,29982
VEV_5300,VEV_5400,10,0.004394165521114119,29967
