product,rows,days_present,mean_mid,std_mid,mean_spread,median_spread,mean_rel_spread_bps,mean_depth_1,mean_abs_imbalance_1,zero_mid_share,missing_bid_2_share,missing_ask_2_share,missing_bid_3_share,missing_ask_3_share
HYDROGEL_PACK,30000,3,9994.6543,34.62327108377088,15.727933333333333,16.0,15.736354719503943,24.825833333333332,0.00954381447269521,0.0,0.0,0.0,0.9834666666666667,0.9837
VELVETFRUIT_EXTRACT,30000,3,5247.648716666667,18.07710848231765,4.982433333333334,5.0,9.494569982065528,75.54076666666667,0.2983191093306106,0.0,0.4544666666666667,0.4528,0.9796,0.9805666666666667
VEV_4000,30000,3,1247.65655,18.101252413633826,20.7535,21.0,166.33885363155093,21.829633333333334,0.01003547715041523,0.0,0.0,0.0,0.9907,0.9894333333333334
VEV_4500,30000,3,747.65675,18.09235701109451,15.793833333333334,16.0,211.2478953827766,17.897666666666666,0.008474689847189847,0.0,0.0,0.0,0.9907,0.9894333333333334
VEV_5000,30000,3,251.14458333333334,17.45552569166258,5.9642333333333335,6.0,237.64118114497478,31.2077,0.24503525682825714,0.0,0.3663,0.3732333333333333,0.9943333333333333,0.9936666666666667
VEV_5100,30000,3,160.8633,16.127374745564445,4.1744,4.0,260.13625215923446,39.121233333333336,0.24333001083848832,0.0,0.5896,0.5909333333333333,0.9956666666666667,0.9959
VEV_5200,30000,3,88.99348333333333,13.34696359654988,2.757833333333333,3.0,312.69653082017953,45.61793333333333,0.17572703141772747,0.0,0.7713333333333333,0.7701333333333333,0.9987333333333334,0.9985666666666667
VEV_5300,30000,3,41.1763,9.143022192095954,1.9730666666666667,2.0,493.5510582068,41.0477,0.11551404374775656,0.0,0.8687333333333334,0.8713,1.0,0.9993666666666666
VEV_5400,30000,3,12.629783333333334,4.149325870937131,1.3040333333333334,1.0,1147.0759125829895,43.78243333333333,0.041391370183904395,0.0,0.9617,0.9594666666666667,1.0,1.0
VEV_5500,30000,3,4.707783333333333,2.2052542993057225,1.1087666666666667,1.0,3227.435214825308,44.56053333333333,0.015564045806455687,0.0,0.9862333333333333,0.9861333333333333,1.0,1.0
VEV_6000,30000,3,0.5,0.0,1.0,1.0,20000.0,44.9743,0.0016407108394217123,0.0,1.0,1.0,1.0,1.0
VEV_6500,30000,3,0.5,0.0,1.0,1.0,20000.0,30.9945,0.002365798441029244,0.0,1.0,1.0,1.0,1.0
