buyer,seller,trade_count,quantity,notional,distinct_symbols,dominant_symbol,avg_rel_spread_bps,avg_future_mid_return_bps_1,avg_future_mid_return_bps_5,avg_future_mid_return_bps_10
Mark 01,Mark 22,1339,4636.0,32427.0,6,VEV_6000,10529.297544731906,-13.236791370273671,-12.867084028159857,9.96723758306774
Mark 14,Mark 38,728,2447.0,20434344.0,2,HYDROGEL_PACK,64.31919127887927,0.03858806008035384,-0.3589734907123078,0.3682281543846173
Mark 38,Mark 14,714,2445.0,20850351.0,2,HYDROGEL_PACK,59.54137591885665,-0.15427148894887355,0.18129062129677734,0.49518002165124625
Mark 55,Mark 14,331,1763.0,9254679.0,1,VELVETFRUIT_EXTRACT,9.384421457178185,0.1385620365809896,0.4983076787269009,0.3195797484316921
Mark 14,Mark 55,316,1761.0,9235831.0,1,VELVETFRUIT_EXTRACT,9.264148740438152,-0.3558548065001637,-0.06432084055233327,-0.4853095807883054
Mark 01,Mark 55,260,1417.0,7432924.0,1,VELVETFRUIT_EXTRACT,9.91569320536562,0.44416811188789773,0.5552617143069424,0.45050967335488007
Mark 55,Mark 01,244,1375.0,7220079.0,1,VELVETFRUIT_EXTRACT,10.238210438170832,-0.402162238908601,-0.004117136828921022,-0.5952223832008371
Mark 67,Mark 49,89,963.0,5056558.0,1,VELVETFRUIT_EXTRACT,2.481997659902692,3.766420967873859,3.574122534295746,4.376533379248278
Mark 14,Mark 22,83,302.0,14577.0,4,VEV_5200,569.6033562846355,-111.91431620032955,-182.0645072961992,-151.03758168088697
Mark 67,Mark 22,75,546.0,2864651.0,1,VELVETFRUIT_EXTRACT,3.8121276557935166,3.786356599418431,3.927750186235467,4.10765105991136
Mark 38,Mark 22,19,48.0,327140.0,7,HYDROGEL_PACK,66.6748838556162,51.231153467541475,24.601406924257116,-10.324677291066084
Mark 22,Mark 55,18,92.0,482557.0,1,VELVETFRUIT_EXTRACT,6.035374571270232,-1.955688273168603,-2.635102272776986,-0.357993691027226
Mark 22,Mark 38,17,60.0,427078.0,7,HYDROGEL_PACK,74.65451900407379,-37.32142448348461,41.52274355084406,55.63638909548248
Mark 55,Mark 22,14,62.0,325980.0,1,VELVETFRUIT_EXTRACT,4.214385569753212,2.7173390697355644,3.2596047966715886,3.2615815434759976
Mark 49,Mark 22,12,89.0,467190.0,1,VELVETFRUIT_EXTRACT,5.0789249840013815,-2.6974514314363103,-3.577500029196298,-4.453617295988853
Mark 55,Mark 49,9,54.0,283190.0,1,VELVETFRUIT_EXTRACT,2.542655254732835,2.8617291998054615,1.9097980399944352,0.9531315335203039
Mark 22,Mark 49,7,54.0,283215.0,1,VELVETFRUIT_EXTRACT,2.995837864719655,2.7272064429451888,4.089422916698026,4.36662465518187
Mark 49,Mark 55,5,26.0,136283.0,1,VELVETFRUIT_EXTRACT,4.956516331417802,-1.7177749439320522,-3.2436384606022046,-2.1000901436201445
Mark 67,Mark 55,1,1.0,5241.0,1,VELVETFRUIT_EXTRACT,5.722460658082976,0.0,-0.9537434430138292,7.6299475441106335
