index,rel_spread_bps,imbalance_1,depth_1,quantity,future_mid_return_bps_1,future_mid_return_bps_5,future_mid_return_bps_10,buyer_is_symbol_dominant,seller_is_symbol_dominant,buyer_dominant_product_share,seller_dominant_product_share,symbol_buyer_top1_share,symbol_seller_top1_share,pair_trade_count_total,pair_is_recurrent
rel_spread_bps,49734057.69043411,-304.72892343354846,-28146.736118775872,-2555.6119255704825,736.6520832815859,7042.114937901589,48191.64770374754,1198.5503981099318,1162.653928538844,-832.0933967004232,-940.3611154598553,1194.9079689254309,1162.487957610572,1945736.0354030083,78.66350296349287
imbalance_1,-304.72892343354846,0.07685485798350297,0.8485483223692303,0.09636739189884808,2.8084870557399317,3.2461190655201078,2.468517653255755,-0.018072932449832792,-0.02899834515896904,0.01581690591063676,0.014830254843961313,-0.016460936493190158,-0.018990740176907425,-23.674414671917763,0.0008480855715627978
depth_1,-28146.736118775872,0.8485483223692303,687.7190139215444,19.025644447209686,52.084826281893704,90.92546034861277,13.918037905480535,-1.1954777357897424,-1.2160066103866898,1.4864602426586078,1.4159368255030713,-1.63834146475555,-1.6819263533788262,-4795.373754712737,0.1824967744893215
quantity,-2555.6119255704825,0.09636739189884808,19.025644447209686,4.280700967325742,2.582741113358176,10.34706593639285,-2.676122567689242,-0.22950147030892878,-0.23371084361021416,0.1950828491725734,0.17576015980855209,-0.15915452947796768,-0.1708831807921729,-417.2408729509004,-0.012562791032752828
future_mid_return_bps_1,736.6520832815859,2.8084870557399317,52.084826281893704,2.582741113358176,11220.150074019622,9325.478047802817,10122.359795488683,-0.08138137592457052,-2.2095741377569964,1.3294657395474683,1.7331707791556998,-1.9205828055301426,-2.2430641500524797,-1168.8198723207813,-0.22649801877857761
future_mid_return_bps_5,7042.114937901589,3.2461190655201078,90.92546034861277,10.34706593639285,9325.478047802817,53887.213322474214,32732.12575791692,0.319671483615283,-2.9500705132162524,1.2979842246398408,2.1754004018766815,-2.164127462789442,-2.6353728186355405,-372.3924708387612,-0.4396933947556271
future_mid_return_bps_10,48191.64770374754,2.468517653255755,13.918037905480535,-2.676122567689242,10122.359795488683,32732.12575791692,102311.16588379459,2.2123509786307936,-0.2919338411432177,-0.6032988476330017,0.04823187899047231,0.19740709571001508,0.06129318468094686,3556.8654176521186,-0.16457564294054558
buyer_is_symbol_dominant,1198.5503981099318,-0.018072932449832792,-1.1954777357897424,-0.22950147030892878,-0.08138137592457052,0.319671483615283,2.2123509786307936,0.23223283930080155,0.08191127062198338,0.003867020986861454,-0.0970394624809836,0.05429397657318464,0.05739905377110955,107.44762540196083,0.006452494940696457
seller_is_symbol_dominant,1162.653928538844,-0.02899834515896904,-1.2160066103866898,-0.23371084361021416,-2.2095741377569964,-2.9500705132162524,-0.2919338411432177,0.08191127062198338,0.22836233564085578,-0.08482024888672045,-0.014824424496341795,0.05739905377110958,0.06271969259719912,101.19832628196303,0.007481874922227525
buyer_dominant_product_share,-832.0933967004232,0.01581690591063676,1.4864602426586078,0.1950828491725734,1.3294657395474683,1.2979842246398408,-0.6032988476330017,0.003867020986861454,-0.08482024888672045,0.07158829334991022,0.004344269297747696,-0.04123274962560151,-0.0442506011044332,-79.58064091615117,-0.0020709681505292066
seller_dominant_product_share,-940.3611154598553,0.014830254843961313,1.4159368255030713,0.17576015980855209,1.7331707791556998,2.1754004018766815,0.04823187899047231,-0.0970394624809836,-0.014824424496341795,0.004344269297747696,0.08302870543124258,-0.04710835872420285,-0.05137045900031292,-80.0801534061429,-0.002628277921699126
symbol_buyer_top1_share,1194.9079689254309,-0.016460936493190158,-1.63834146475555,-0.15915452947796768,-1.9205828055301426,-2.164127462789442,0.19740709571001508,0.05429397657318464,0.05739905377110958,-0.04123274962560151,-0.04710835872420285,0.05429397657318458,0.05739905377110959,92.32902200116384,0.003544912213771595
symbol_seller_top1_share,1162.487957610572,-0.018990740176907425,-1.6819263533788262,-0.1708831807921729,-2.2430641500524797,-2.6353728186355405,0.06129318468094686,0.05739905377110955,0.06271969259719912,-0.0442506011044332,-0.05137045900031292,0.05739905377110959,0.06271969259719896,96.09672470582284,0.00360198418795764
pair_trade_count_total,1945736.0354030083,-23.674414671917763,-4795.373754712737,-417.2408729509004,-1168.8198723207813,-372.3924708387612,3556.8654176521186,107.44762540196083,101.19832628196303,-79.58064091615117,-80.0801534061429,92.32902200116384,96.09672470582284,204070.59283849297,17.42131325766755
pair_is_recurrent,78.66350296349287,0.0008480855715627978,0.1824967744893215,-0.012562791032752828,-0.22649801877857761,-0.4396933947556271,-0.16457564294054558,0.006452494940696457,0.007481874922227525,-0.0020709681505292066,-0.002628277921699126,0.003544912213771595,0.00360198418795764,17.42131325766755,0.02326395483630125
