symbol,trade_count,trade_qty,trade_notional,avg_trade_price
VELVETFRUIT_EXTRACT,1381,8203.0,43048378.0,5247.7639391745115
HYDROGEL_PACK,1022,4096.0,40939210.0,9994.32191780822
VEV_4000,442,876.0,1092457.0,1246.7262443438915
VEV_6000,317,1105.0,0.0,0.0
VEV_6500,317,1105.0,0.0,0.0
VEV_5500,306,1069.0,4202.0,3.892156862745098
VEV_5400,276,959.0,10869.0,11.231884057971014
VEV_5300,164,548.0,20310.0,36.56707317073171
VEV_5200,47,162.0,12200.0,75.51063829787235
VEV_4500,3,6.0,4389.0,732.6666666666666
VEV_5000,3,6.0,1409.0,236.33333333333334
VEV_5100,3,6.0,871.0,147.33333333333334
