product,extrinsic_dev_vs_future_change_5_corr,extrinsic_std,mean_abs_extrinsic_dev_day
VEV_4000,-0.7022863994468641,0.8286752480649815,0.2616091333333333
VEV_4500,-0.7030098710968501,0.7588946213126874,0.42769080333333337
VEV_5000,-0.3026085609184123,1.9298040439695865,1.01893349
VEV_5100,-0.14139424666372824,4.842467961762693,2.249875856666667
VEV_5200,-0.08526292269285914,7.846557555296425,4.852802423333333
VEV_5300,-0.07241382476417173,6.22814132148312,4.85079334
VEV_5400,-0.07905281328410572,3.429181870747807,2.321348803333333
VEV_5500,-0.10992867658014187,1.738849034284364,1.07602335
VEV_6000,,0.0,0.0
VEV_6500,,0.0,0.0
