day,timestamp,monotone_ok,convex_ok,monotone_breaks,convex_breaks
0,0,True,True,0,0
0,100,True,True,0,0
0,200,True,True,0,0
0,300,True,True,0,0
0,400,True,True,0,0
0,500,True,True,0,0
0,600,True,True,0,0
0,700,True,True,0,0
0,800,True,True,0,0
0,900,True,True,0,0
0,1000,True,True,0,0
0,1100,True,True,0,0
0,1200,True,True,0,0
0,1300,True,True,0,0
0,1400,True,True,0,0
0,1500,True,True,0,0
0,1600,True,True,0,0
0,1700,True,True,0,0
0,1800,True,True,0,0
0,1900,True,True,0,0
0,2000,True,True,0,0
0,2100,True,True,0,0
0,2200,True,True,0,0
0,2300,True,True,0,0
0,2400,True,True,0,0
0,2500,True,True,0,0
0,2600,True,True,0,0
0,2700,True,True,0,0
0,2800,True,True,0,0
0,2900,True,True,0,0
0,3000,True,True,0,0
0,3100,True,True,0,0
0,3200,True,True,0,0
0,3300,True,True,0,0
0,3400,True,True,0,0
0,3500,True,True,0,0
0,3600,True,True,0,0
0,3700,True,True,0,0
0,3800,True,True,0,0
0,3900,True,True,0,0
0,4000,True,True,0,0
0,4100,True,True,0,0
0,4200,True,True,0,0
0,4300,True,True,0,0
0,4400,True,True,0,0
0,4500,True,True,0,0
0,4600,True,True,0,0
0,4700,True,True,0,0
0,4800,True,True,0,0
0,4900,True,True,0,0
0,5000,True,True,0,0
0,5100,True,True,0,0
0,5200,True,True,0,0
0,5300,True,True,0,0
0,5400,True,True,0,0
0,5500,True,True,0,0
0,5600,True,True,0,0
0,5700,True,True,0,0
0,5800,True,True,0,0
0,5900,True,True,0,0
0,6000,True,True,0,0
0,6100,True,True,0,0
0,6200,True,True,0,0
0,6300,True,True,0,0
0,6400,True,True,0,0
0,6500,True,True,0,0
0,6600,True,True,0,0
0,6700,True,True,0,0
0,6800,True,True,0,0
0,6900,True,True,0,0
0,7000,True,True,0,0
0,7100,True,True,0,0
0,7200,True,True,0,0
0,7300,True,True,0,0
0,7400,True,True,0,0
0,7500,True,True,0,0
0,7600,True,True,0,0
0,7700,True,True,0,0
0,7800,True,True,0,0
0,7900,True,True,0,0
0,8000,True,True,0,0
0,8100,True,True,0,0
0,8200,True,True,0,0
0,8300,True,True,0,0
0,8400,True,True,0,0
0,8500,True,True,0,0
0,8600,True,True,0,0
0,8700,True,True,0,0
0,8800,True,True,0,0
0,8900,True,True,0,0
0,9000,True,True,0,0
0,9100,True,True,0,0
0,9200,True,True,0,0
0,9300,True,True,0,0
0,9400,True,True,0,0
0,9500,True,True,0,0
0,9600,True,True,0,0
0,9700,True,True,0,0
0,9800,True,True,0,0
0,9900,True,True,0,0
0,10000,True,True,0,0
0,10100,True,True,0,0
0,10200,True,True,0,0
0,10300,True,True,0,0
0,10400,True,True,0,0
0,10500,True,True,0,0
0,10600,True,True,0,0
0,10700,True,True,0,0
0,10800,True,True,0,0
0,10900,True,True,0,0
0,11000,True,True,0,0
0,11100,True,True,0,0
0,11200,True,True,0,0
0,11300,True,True,0,0
