product,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
HYDROGEL_PACK,1.0,0.005993161590418496,0.0017659762123127128,0.0019094287147004643,0.005443082580476631,0.000853662240889267,0.006359249141769842,0.004749285335906249,0.005218107958111962,0.0006181725978725081,,
VELVETFRUIT_EXTRACT,0.005993161590418496,1.0,0.5946663143541868,0.5976397521089925,0.7524217317905734,0.7626584798749378,0.719200951645401,0.6122529469051181,0.5249872343357926,0.3332409800608131,,
VEV_4000,0.0017659762123127128,0.5946663143541868,1.0,0.9129281097469016,0.8175728123211283,0.7824786137880432,0.7156778676379272,0.5788144416026718,0.46475038796837226,0.28304413115493743,,
VEV_4500,0.0019094287147004643,0.5976397521089925,0.9129281097469016,1.0,0.8635974674282069,0.8366707693612262,0.7700459539656551,0.6334954314975183,0.5133823917448443,0.3160917249498858,,
VEV_5000,0.005443082580476631,0.7524217317905734,0.8175728123211283,0.8635974674282069,1.0,0.8982149449020815,0.8359175112915802,0.7041271932960509,0.5893764797184687,0.3681108246318851,,
VEV_5100,0.000853662240889267,0.7626584798749378,0.7824786137880432,0.8366707693612262,0.8982149449020815,1.0,0.8338020447030506,0.7013942110836906,0.5895181255000825,0.3663535382730421,,
VEV_5200,0.006359249141769842,0.719200951645401,0.7156778676379272,0.7700459539656551,0.8359175112915802,0.8338020447030506,1.0,0.6579919884469123,0.5568253640733882,0.3541050719311451,,
VEV_5300,0.004749285335906249,0.6122529469051181,0.5788144416026718,0.6334954314975183,0.7041271932960509,0.7013942110836906,0.6579919884469123,1.0,0.4660169393801943,0.30175922844270536,,
VEV_5400,0.005218107958111962,0.5249872343357926,0.46475038796837226,0.5133823917448443,0.5893764797184687,0.5895181255000825,0.5568253640733882,0.4660169393801943,1.0,0.27056540333539103,,
VEV_5500,0.0006181725978725081,0.3332409800608131,0.28304413115493743,0.3160917249498858,0.3681108246318851,0.3663535382730421,0.3541050719311451,0.30175922844270536,0.27056540333539103,1.0,,
VEV_6000,,,,,,,,,,,,
VEV_6500,,,,,,,,,,,,
