product,rows,days_present,mean_mid,std_mid,mean_spread,median_spread,mean_rel_spread_bps,mean_depth_1,missing_bid_2_share,missing_ask_2_share,missing_bid_3_share,missing_ask_3_share,zero_mid_count
HYDROGEL_PACK,30000,3,9990.806866666666,31.935213763349072,15.7208,16.0,15.735268953201997,24.799266666666668,0.0,0.0,0.9842,0.9828,0
VELVETFRUIT_EXTRACT,30000,3,5250.0981,15.630415436566697,4.988133333333334,5.0,9.500996233742304,75.62643333333334,0.4563,0.45463333333333333,0.9797333333333333,0.9809333333333333,0
VEV_4000,30000,3,1250.1098,15.647242733685244,20.813466666666667,21.0,166.49258576105004,21.841433333333335,0.0,0.0,0.9911666666666666,0.9905333333333334,0
VEV_4500,30000,3,750.1095666666666,15.639930159459048,15.852666666666666,16.0,211.34108477798137,17.8998,0.0,0.0,0.9911666666666666,0.9905333333333334,0
VEV_5000,30000,3,255.0224,14.375585906517749,6.043333333333333,6.0,237.0700022011594,30.810366666666667,0.35436666666666666,0.36343333333333333,0.9942333333333333,0.9941,0
VEV_5100,30000,3,166.80545,12.742624184727658,4.295833333333333,4.0,257.8870145771924,38.5963,0.5721,0.5784,0.9962666666666666,0.9961666666666666,0
VEV_5200,30000,3,95.54876666666667,9.664217594591456,2.888133333333333,3.0,303.42635407189346,45.07216666666667,0.7570333333333333,0.7539,0.9984333333333333,0.9987,0
VEV_5300,30000,3,46.759933333333336,6.228141321483164,2.1068,2.0,454.8304665772336,40.526666666666664,0.8537666666666667,0.8525,1.0,0.9989,0
VEV_5400,30000,3,15.951916666666667,3.429181870747851,1.3814333333333333,1.0,900.1054361848522,43.482166666666664,0.9523333333333334,0.9498,1.0,1.0,0
VEV_5500,30000,3,6.64135,1.738849034284489,1.1497666666666666,1.0,1858.6394195053288,44.34973333333333,0.9803,0.9797333333333333,1.0,1.0,0
VEV_6000,30000,3,0.5,0.0,1.0,1.0,20000.0,44.95503333333333,1.0,1.0,1.0,1.0,0
VEV_6500,30000,3,0.5,0.0,1.0,1.0,20000.0,30.961566666666666,1.0,1.0,1.0,1.0,0
