symbol,trade_count,avg_trade_minus_mid,abs_trade_minus_mid,share_at_or_below_bid,share_at_or_above_ask
HYDROGEL_PACK,1010,0.25445544554455446,7.868316831683169,0.48118811881188117,0.5188118811881188
VELVETFRUIT_EXTRACT,1372,0.1424927113702624,2.2620262390670556,0.43075801749271136,0.5692419825072886
VEV_4000,464,-0.30495689655172414,10.429956896551724,0.5129310344827587,0.4870689655172414
VEV_4500,1,3.5,3.5,0.0,1.0
VEV_5000,1,1.0,1.0,0.0,1.0
VEV_5100,1,1.0,1.0,0.0,1.0
VEV_5200,18,-0.9166666666666666,0.9722222222222222,0.9444444444444444,0.05555555555555555
VEV_5300,121,-0.9628099173553719,0.9710743801652892,0.9834710743801653,0.008264462809917356
VEV_5400,225,-0.6288888888888889,0.6288888888888889,1.0,0.0
VEV_5500,267,-0.5468164794007491,0.5468164794007491,1.0,0.0
VEV_6000,284,-0.5,0.5,1.0,0.0
VEV_6500,284,-0.5,0.5,1.0,0.0
