product,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
HYDROGEL_PACK,4.717439101111823e-08,2.8046708003630835e-10,4.3486869407090515e-10,6.928223672655732e-10,4.564653392285699e-09,9.555962442472776e-10,9.97877496835073e-09,1.1201720657902643e-08,2.009457716726613e-08,3.845969809227299e-09,0.0,0.0
VELVETFRUIT_EXTRACT,2.8046708003630835e-10,4.642431546025337e-08,1.4526675524206784e-07,2.1511838601413968e-07,6.25956013759377e-07,8.469115751163463e-07,1.1195442027070327e-06,1.4325406778915086e-06,2.0055530692120143e-06,2.0567150545344442e-06,0.0,0.0
VEV_4000,4.3486869407090515e-10,1.4526675524206784e-07,1.2854058949861463e-06,1.729107612184226e-06,3.5789556434121413e-06,4.572227495172857e-06,5.862137058901459e-06,7.1262790828952766e-06,9.342273245972149e-06,9.192153490158161e-06,0.0,0.0
VEV_4500,6.928223672655732e-10,2.1511838601413968e-07,1.729107612184226e-06,2.790812111694174e-06,5.5704001121265455e-06,7.203691515606399e-06,9.29394676466034e-06,1.1492436458338319e-05,1.520613806500153e-05,1.5125905946539151e-05,0.0,0.0
VEV_5000,4.564653392285699e-09,6.25956013759377e-07,3.5789556434121413e-06,5.5704001121265455e-06,1.490800269591605e-05,1.7874142619094735e-05,2.331800505857049e-05,2.952325058680904e-05,4.034736644067642e-05,4.0712829772457754e-05,0.0,0.0
VEV_5100,9.555962442472776e-10,8.469115751163463e-07,4.572227495172857e-06,7.203691515606399e-06,1.7874142619094735e-05,2.656259016591288e-05,3.104676856566091e-05,3.92555179836008e-05,5.386975920510566e-05,5.4085216280075746e-05,0.0,0.0
VEV_5200,9.97877496835073e-09,1.1195442027070327e-06,5.862137058901459e-06,9.29394676466034e-06,2.331800505857049e-05,3.104676856566091e-05,5.2195910211697725e-05,5.162287263373653e-05,7.132633488100322e-05,7.328133198123085e-05,0.0,0.0
VEV_5300,1.1201720657902643e-08,1.4325406778915086e-06,7.1262790828952766e-06,1.1492436458338319e-05,2.952325058680904e-05,3.92555179836008e-05,5.162287263373653e-05,0.0001179252074149601,8.972587217441823e-05,9.386568516804727e-05,0.0,0.0
VEV_5400,2.009457716726613e-08,2.0055530692120143e-06,9.342273245972149e-06,1.520613806500153e-05,4.034736644067642e-05,5.386975920510566e-05,7.132633488100322e-05,8.972587217441823e-05,0.00031435858249831693,0.00013741302299826865,0.0,0.0
VEV_5500,3.845969809227299e-09,2.0567150545344442e-06,9.192153490158161e-06,1.5125905946539151e-05,4.0712829772457754e-05,5.4085216280075746e-05,7.328133198123085e-05,9.386568516804727e-05,0.00013741302299826865,0.0008205138934261227,0.0,0.0
VEV_6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEV_6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
